latitude,longitude,lease,operator,fake_number
28.792942,-98.241531,S & H TRUST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,81
28.793069,-98.241347,S & H TRUST,MURPHY EXPLORATION & PRODUCTION CO-USA,55
28.680082,-98.492057,KAISER JUNIOR UNIT,EOG RESOURCES INCORPORATED,1
28.878650,-98.228445,BUFFLEHEAD UNIT,EOG RESOURCES INCORPORATED,9
28.688617,-98.580414,THOMPSON A UNIT,EOG RESOURCES INCORPORATED,99
28.688617,-98.580303,THOMPSON A UNIT,EOG RESOURCES INCORPORATED,82
28.762428,-98.297683,ALLEN HOWARD 01,PIONEER NATURAL RESOURCES USA INC,39
28.804552,-98.567733,CATY UNIT,ATLAS EAGLE FORD OPERATING CO LLC,30
28.804605,-98.567719,CATY UNIT,ATLAS EAGLE FORD OPERATING CO LLC,27
28.654049,-98.556443,PENNINGTON UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,11
28.675558,-98.299064,HEARD J P-BOWER E,TEAL OPERATING LLC,100
28.675614,-98.299058,HEARD J P-BOWER E,TEAL OPERATING LLC,2
28.636814,-98.330164,MCCOWEN MIDDLE,MARATHON OIL EF LLC,86
28.636747,-98.330172,MCCOWEN MIDDLE,MARATHON OIL EF LLC,95
28.795765,-98.506656,HEFFERNAN B UNIT,EOG RESOURCES INCORPORATED,78
28.682250,-98.465797,PEELER RANCH,SEA EAGLE FORD LLC,46
28.795778,-98.506550,HEFFERNAN B UNIT,EOG RESOURCES INCORPORATED,46
28.636614,-98.330211,MCCOWEN MIDDLE,MARATHON OIL EF LLC,43
28.634383,-98.332817,MCCOWEN MIDDLE,MARATHON OIL EF LLC,46
28.636679,-98.330191,74 RANCH SPECIAL EAST UNIT,MARATHON OIL EF LLC,32
28.634342,-98.332878,74 RANCH SPECIAL EAST UNIT,MARATHON OIL EF LLC,43
28.730528,-98.175419,ESSE-SMITH RANCH UNIT B,MARATHON OIL EF LLC,70
28.807917,-98.313728,JAVELINA UNIT,EOG RESOURCES INCORPORATED,42
28.730578,-98.175347,ESSE-SMITH RANCH UNIT B,MARATHON OIL EF LLC,71
28.730631,-98.175275,ESSE-SMITH RANCH UNIT B,MARATHON OIL EF LLC,79
28.730683,-98.175203,ESSE-SMITH RANCH UNIT B,MARATHON OIL EF LLC,70
28.634425,-98.332753,74 RANCH SPECIAL UNIT EAST,MARATHON OIL EF LLC,83
28.757750,-98.801517,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,72
28.874936,-98.279294,MUSKOX,EOG RESOURCES INCORPORATED,88
28.874872,-98.279378,MOOSE,EOG RESOURCES INCORPORATED,58
28.757778,-98.801483,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,32
28.654814,-98.425312,TG UNIT,CARRIZO EAGLE FORD LLC,37
28.654773,-98.425312,TG UNIT,CARRIZO EAGLE FORD LLC,52
28.654855,-98.425313,GLOVER UNIT,CARRIZO EAGLE FORD LLC,1
28.661303,-98.505461,SAN MIGUEL C UNIT,EOG RESOURCES INCORPORATED,77
28.661314,-98.505170,SAN MIGUEL C UNIT,EOG RESOURCES INCORPORATED,62
28.757692,-98.801581,PICKENS R H ET AL B19 UNIT,CABOT OIL & GAS CORPORATION,82
28.757719,-98.801550,PICKENS R H ET AL B20 UNIT,CABOT OIL & GAS CORPORATION,79
28.753044,-98.781911,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,42
28.763472,-98.560025,GRACE UNIT,ATLAS EAGLE FORD OPERATING CO LLC,32
28.763461,-98.559964,GRACE UNIT,ATLAS EAGLE FORD OPERATING CO LLC,20
28.670486,-98.796025,FOUR CORNERS RANCH-UNIT `A`,CABOT OIL & GAS CORPORATION,69
28.670447,-98.796022,FOUR CORNERS RANCH-UNIT `A`,CABOT OIL & GAS CORPORATION,9
28.863894,-98.289983,OSPREY UNIT,EOG RESOURCES INCORPORATED,88
28.846594,-98.672678,FISHER ET AL UNIT,VIRTEX OPERATING COMPANY INCORPORATED,58
28.689939,-98.538975,KAISER SENIOR D UNIT,EOG RESOURCES INCORPORATED,33
28.890442,-98.446289,CARIBOU,EOG RESOURCES INCORPORATED,70
28.654027,-98.552910,PENNINGTON UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,58
28.654028,-98.552832,PENNINGTON UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,37
28.654028,-98.552754,PENNINGTON UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,57
28.697119,-98.720433,CALDARKO UNIT,EOG RESOURCES INCORPORATED,32
28.697033,-98.720453,CALDARKO UNIT,EOG RESOURCES INCORPORATED,72
28.850317,-98.237342,GADWALL UNIT,EOG RESOURCES INCORPORATED,90
28.689053,-98.786186,HINDES JOE `C` UNIT,CABOT OIL & GAS CORPORATION,59
28.910033,-98.227970,ELK UNIT,EOG RESOURCES INCORPORATED,13
28.909972,-98.228050,BOBCAT UNIT,EOG RESOURCES INCORPORATED,3
28.782297,-98.538345,CAP UNIT,ATLAS EAGLE FORD OPERATING CO LLC,51
28.782242,-98.538344,CAP UNIT,ATLAS EAGLE FORD OPERATING CO LLC,72
28.827603,-98.315931,WATUSI UNIT,EOG RESOURCES INCORPORATED,45
28.692317,-98.537881,KAISER SENIOR C UNIT,EOG RESOURCES INCORPORATED,15
28.724398,-98.206142,HENKE `A` UNIT,MARATHON OIL EF LLC,7
28.724450,-98.206070,HENKE `A` UNIT,MARATHON OIL EF LLC,70
28.724346,-98.206214,HENKE `A` UNIT,MARATHON OIL EF LLC,14
28.685467,-98.598936,THOMPSON D UNIT,EOG RESOURCES INCORPORATED,26
28.691106,-98.521792,KAISER SENIOR B UNIT,EOG RESOURCES INCORPORATED,55
28.685425,-98.598839,THOMPSON C UNIT,EOG RESOURCES INCORPORATED,57
28.791444,-98.164614,TARTT EMMA,XTO ENERGY INCORPORATED,64
28.781772,-98.179070,TARTT EMMA,XTO ENERGY INCORPORATED,90
28.781828,-98.179065,TARTT EMMA,XTO ENERGY INCORPORATED,32
28.781306,-98.572728,JIMMY UNIT,ATLAS EAGLE FORD OPERATING CO LLC,32
28.781361,-98.572728,JIMMY UNIT,ATLAS EAGLE FORD OPERATING CO LLC,1
28.686464,-98.586795,THOMPSON B UNIT,EOG RESOURCES INCORPORATED,95
28.841725,-98.296417,REDFISH,EOG RESOURCES INCORPORATED,29
28.809242,-98.332014,DIAMONDBACK UNIT,EOG RESOURCES INCORPORATED,7
28.689781,-98.510989,KAISER SENIOR A UNIT,EOG RESOURCES INCORPORATED,75
28.674617,-98.292956,HEARD BOWER CENTRAL UNIT,TEAL OPERATING LLC,39
28.674564,-98.292961,HEARD BOWER CENTRAL UNIT,TEAL OPERATING LLC,29
28.674508,-98.292967,HEARD BOWER CENTRAL UNIT,TEAL OPERATING LLC,9
28.664702,-98.729141,GARY MARY,EOG RESOURCES INCORPORATED,82
28.664724,-98.729247,GARY MARY,EOG RESOURCES INCORPORATED,5
28.976023,-98.361469,HEINEN PEGGY A,HUNT OIL COMPANY,50
28.796664,-98.272731,WALLY UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,71
28.796619,-98.272789,WALLY UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,56
28.796575,-98.272850,WALLY UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,83
28.845644,-98.189764,FALLOW UNIT,EOG RESOURCES INCORPORATED,52
28.845706,-98.189681,FALLOW UNIT,EOG RESOURCES INCORPORATED,2
28.685219,-98.610062,MICHAEL WHEELER UNIT,EOG RESOURCES INCORPORATED,90
28.685132,-98.610022,MICHAEL WHEELER UNIT,EOG RESOURCES INCORPORATED,95
28.733019,-98.782100,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,37
28.855419,-98.335689,MALLARD UNIT,EOG RESOURCES INCORPORATED,90
28.853308,-98.339311,DRAKE UNIT,EOG RESOURCES INCORPORATED,82
28.853386,-98.339245,TEAL UNIT,EOG RESOURCES INCORPORATED,4
28.850697,-98.689317,GONZALES,VIRTEX OPERATING COMPANY INCORPORATED,79
28.850889,-98.182839,WHITETAIL UNIT,EOG RESOURCES INCORPORATED,90
28.850969,-98.182900,WHITETAIL UNIT,EOG RESOURCES INCORPORATED,11
28.795233,-98.274689,CB UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,64
28.905725,-98.500693,BLUE EYES UNIT,ABRAXAS PETROLEUM CORPORATION,90
28.674386,-98.287731,HEARD BOWER EAST UNIT,TEAL OPERATING LLC,48
28.674359,-98.287720,HEARD BOWER EAST UNIT,TEAL OPERATING LLC,50
28.699476,-98.237264,MAY-CHAPMAN,MARATHON OIL EF LLC,64
28.699528,-98.237194,MAY-CHAPMAN,MARATHON OIL EF LLC,37
28.699581,-98.237122,MAY-CHAPMAN,MARATHON OIL EF LLC,11
28.853231,-98.339372,DRAKE UNIT,EOG RESOURCES INCORPORATED,62
28.798922,-98.269670,WALLY UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,25
28.798972,-98.269611,WALLY UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,42
28.799014,-98.269553,WALLY UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,18
28.763368,-98.152096,GIESE-HENKE UNIT,MARATHON OIL EF LLC,18
28.763420,-98.152027,GIESE-HENKE UNIT,MARATHON OIL EF LLC,91
28.763472,-98.151953,GIESE-HENKE UNIT,MARATHON OIL EF LLC,89
28.763525,-98.151878,GIESE-HENKE UNIT,MARATHON OIL EF LLC,54
28.875547,-98.470519,STEINLE UNIT,EOG RESOURCES INCORPORATED,14
28.666858,-98.614942,RILEY POTTS UNIT,EOG RESOURCES INCORPORATED,29
28.666853,-98.614836,RILEY POTTS UNIT,EOG RESOURCES INCORPORATED,28
28.792531,-98.239700,QUAIL,EOG RESOURCES INCORPORATED,58
28.792592,-98.239617,QUAIL,EOG RESOURCES INCORPORATED,57
28.792656,-98.239533,QUAIL,EOG RESOURCES INCORPORATED,38
28.795765,-98.569437,FERNANDEZ UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,96
28.882281,-98.315808,OCELOT,EOG RESOURCES INCORPORATED,65
28.879269,-98.524394,STEINLE-PHILLIPS UNIT,VIRTEX OPERATING COMPANY INCORPORATED,39
28.665589,-98.781022,HINDES BILLY-NORTH UNIT,CABOT OIL & GAS CORPORATION,24
28.837406,-98.476328,FRIESENHAHN UNIT,EOG RESOURCES INCORPORATED,32
28.758262,-98.276256,RLT UNIT A,MURPHY EXPLORATION & PRODUCTION CO-USA,75
28.655175,-98.448101,PHZ UNIT,CARRIZO EAGLE FORD LLC,2
28.758302,-98.276192,RLT UNIT B,MURPHY EXPLORATION & PRODUCTION CO-USA,74
28.655202,-98.448065,PHZ UNIT,CARRIZO EAGLE FORD LLC,92
28.677361,-98.647075,CUELLAR,EOG RESOURCES INCORPORATED,8
28.787828,-98.169845,TARTT EMMA,XTO ENERGY INCORPORATED,30
28.655228,-98.448029,PHZ UNIT,CARRIZO EAGLE FORD LLC,91
28.837403,-98.476220,NELSON WILLIE UNIT,EOG RESOURCES INCORPORATED,89
28.823983,-98.779856,CHILIPITIN LIMITED,CABOT OIL & GAS CORPORATION,60
28.690967,-98.254833,MAY R `B`,MARATHON OIL EF LLC,72
28.690916,-98.254907,MAY R `B`,MARATHON OIL EF LLC,73
28.691021,-98.254763,MAY R `B`,MARATHON OIL EF LLC,78
28.740000,-98.783689,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,46
28.740040,-98.783678,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,72
28.784122,-98.554311,MARIETTA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,4
28.784178,-98.554311,MARIETTA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,42
28.691445,-98.255160,MAY R `B`,MARATHON OIL EF LLC,39
28.691392,-98.255232,MAY R `B`,MARATHON OIL EF LLC,31
28.691340,-98.255303,MAY R `B`,MARATHON OIL EF LLC,64
28.680852,-98.697510,PEARCE,VALENCE OPERATING COMPANY,99
28.680933,-98.697486,PEARCE,VALENCE OPERATING COMPANY,86
28.724897,-98.183017,ESSE-SMITH RANCH UNIT A,MARATHON OIL EF LLC,40
28.724844,-98.183089,ESSE-SMITH RANCH UNIT A,MARATHON OIL EF LLC,41
28.724791,-98.183161,ESSE-SMITH RANCH UNIT A,MARATHON OIL EF LLC,7
28.724739,-98.183233,ESSE-SMITH RANCH UNIT A,MARATHON OIL EF LLC,9
28.721945,-98.225321,TOM-SMITH UNIT A,MARATHON OIL EF LLC,13
28.721833,-98.225459,TOM-SMITH UNIT A,MARATHON OIL EF LLC,25
28.699900,-98.237663,MAY R `A`,MARATHON OIL EF LLC,53
28.699952,-98.237592,MAY R `A`,MARATHON OIL EF LLC,92
28.700005,-98.237520,MAY R `A`,MARATHON OIL EF LLC,4
28.835653,-98.489536,PACHECO UNIT,EOG RESOURCES INCORPORATED,43
28.651500,-98.534833,DICKE A UNIT,EOG RESOURCES INCORPORATED,78
28.717999,-98.260400,NET UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,9
28.812458,-98.211994,TOM A UNIT,PROTEGE ENERGY III LLC,78
28.812503,-98.211933,TOM A UNIT,PROTEGE ENERGY III LLC,18
28.812547,-98.211875,TOM A UNIT,PROTEGE ENERGY III LLC,35
28.800086,-98.405867,SPRINGBOK UNIT,EOG RESOURCES INCORPORATED,34
28.682683,-98.678176,PEARCE,VALENCE OPERATING COMPANY,22
28.682662,-98.678085,PEARCE,VALENCE OPERATING COMPANY,48
28.868261,-98.319169,ELDER UNIT,EOG RESOURCES INCORPORATED,73
28.868189,-98.319097,LYNX UNIT,EOG RESOURCES INCORPORATED,84
28.791692,-98.279600,JB EAST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,12
28.791650,-98.279658,JB WEST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,92
28.729994,-98.789017,PICKENS R H ET AL `B`,CABOT OIL & GAS CORPORATION,74
28.799214,-98.663772,LSWT,CINCO OIL & GAS LLC,92
28.693092,-98.462469,PEELER RANCH,SEA EAGLE FORD LLC,81
28.693178,-98.462469,PEELER RANCH,SEA EAGLE FORD LLC,89
28.699756,-98.800683,HINDES JOE `G` UNIT,CABOT OIL & GAS CORPORATION,85
28.699714,-98.800697,HINDES JOE `G` UNIT,CABOT OIL & GAS CORPORATION,28
28.674494,-98.292028,HEARD BOWER CENTRAL UNIT,TEAL OPERATING LLC,78
28.674547,-98.292022,HEARD BOWER CENTRAL UNIT,TEAL OPERATING LLC,83
28.674439,-98.292033,HEARD BOWER CENTRAL UNIT,TEAL OPERATING LLC,34
28.824717,-98.430172,HIPPO UNIT,EOG RESOURCES INCORPORATED,56
28.824619,-98.430170,RHINO UNIT,EOG RESOURCES INCORPORATED,21
28.677386,-98.249066,GUAJILLO EAST,MARATHON OIL EF LLC,27
28.677328,-98.249128,GUAJILLO EAST,MARATHON OIL EF LLC,12
28.677269,-98.249194,GUAJILLO EAST,MARATHON OIL EF LLC,50
28.651278,-98.530233,DICKE B UNIT,EOG RESOURCES INCORPORATED,34
28.711839,-98.621961,MARS UNIT,EOG RESOURCES INCORPORATED,16
28.711839,-98.621853,MARS UNIT,EOG RESOURCES INCORPORATED,96
28.823329,-98.453767,IMPALA UNIT,EOG RESOURCES INCORPORATED,69
28.702946,-98.259848,MAY R `B`,MARATHON OIL EF LLC,23
28.702883,-98.259909,MAY R `B`,MARATHON OIL EF LLC,62
28.702819,-98.259967,MAY R `B`,MARATHON OIL EF LLC,66
28.702756,-98.260028,MAY R `B`,MARATHON OIL EF LLC,92
28.829389,-98.418372,HYENA,EOG RESOURCES INCORPORATED,8
28.829486,-98.418372,HYENA,EOG RESOURCES INCORPORATED,93
28.829508,-98.416787,HYENA,EOG RESOURCES INCORPORATED,85
28.829411,-98.416786,HYENA,EOG RESOURCES INCORPORATED,10
28.902114,-98.508647,SNAKE EYES UNIT,ABRAXAS PETROLEUM CORPORATION,4
28.823319,-98.453875,NILGAI UNIT,EOG RESOURCES INCORPORATED,35
28.677444,-98.248997,MAY R `B`-GUAJILLO UNIT,MARATHON OIL EF LLC,74
28.750478,-98.279706,LYTLE UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,85
28.774233,-98.790017,PICKENS `B` NORTH,CABOT OIL & GAS CORPORATION,17
28.791227,-98.525445,WORDEN UNIT,ATLAS EAGLE FORD OPERATING CO LLC,5
28.791282,-98.525444,WORDEN UNIT,ATLAS EAGLE FORD OPERATING CO LLC,89
28.682450,-98.266662,GUAJILLO EAST,MARATHON OIL EF LLC,59
28.682392,-98.266728,GUAJILLO EAST,MARATHON OIL EF LLC,60
28.682333,-98.266794,GUAJILLO EAST,MARATHON OIL EF LLC,98
28.682275,-98.266860,GUAJILLO EAST,MARATHON OIL EF LLC,50
28.682217,-98.266928,GUAJILLO EAST,MARATHON OIL EF LLC,6
28.911172,-98.495878,SPANISH EYES UNIT,ABRAXAS PETROLEUM CORPORATION,7
28.804956,-98.401889,LION UNIT,EOG RESOURCES INCORPORATED,22
28.878958,-98.272461,MUSKOX,EOG RESOURCES INCORPORATED,24
28.767592,-98.277920,ALLEN UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,5
28.767661,-98.277914,ALLEN UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,45
28.684954,-98.415787,MCCOWEN MIDDLE,MARATHON OIL EF LLC,27
28.685001,-98.415710,MCCOWEN MIDDLE,MARATHON OIL EF LLC,66
28.684861,-98.415942,GAENZEL,MARATHON OIL EF LLC,66
28.684908,-98.415864,GAENZEL,MARATHON OIL EF LLC,64
28.839953,-98.476525,PIPES UNIT,EOG RESOURCES INCORPORATED,65
28.670361,-98.796008,FOUR CORNERS RANCH-UNIT `A`,CABOT OIL & GAS CORPORATION,51
28.835231,-98.500381,AHRENS UNIT,EOG RESOURCES INCORPORATED,56
28.670403,-98.796014,FOUR CORNERS RANCH-UNIT `A`,CABOT OIL & GAS CORPORATION,39
28.838119,-98.488350,FERDINAND UNIT,EOG RESOURCES INCORPORATED,16
28.679100,-98.662294,PFLUGER,VALENCE OPERATING COMPANY,76
28.918497,-98.483756,EAGLE EYES UNIT,ABRAXAS PETROLEUM CORPORATION,85
28.802953,-98.430817,BLESBOK UNIT,EOG RESOURCES INCORPORATED,54
28.669514,-98.744750,GORDON C UNIT,EOG RESOURCES INCORPORATED,48
28.669033,-98.272417,GUAJILLO EAST,MARATHON OIL EF LLC,58
28.668975,-98.272483,GUAJILLO EAST,MARATHON OIL EF LLC,66
28.668917,-98.272550,GUAJILLO EAST,MARATHON OIL EF LLC,15
28.668858,-98.272617,GUAJILLO EAST,MARATHON OIL EF LLC,81
28.651272,-98.518650,DICKE C UNIT,EOG RESOURCES INCORPORATED,19
28.679137,-98.662378,PFLUGER,VALENCE OPERATING COMPANY,62
28.949019,-98.292396,GROUSE UNIT,EOG RESOURCES INCORPORATED,34
28.760589,-98.312275,MOURSUND UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,96
28.760544,-98.312339,MOURSUND UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,41
28.669500,-98.744856,GORDON C UNIT,EOG RESOURCES INCORPORATED,51
28.862369,-98.442125,GAZELLE UNIT,EOG RESOURCES INCORPORATED,6
28.783517,-98.524514,TIRO UNIT,ATLAS EAGLE FORD OPERATING CO LLC,49
28.783516,-98.524575,TIRO UNIT,ATLAS EAGLE FORD OPERATING CO LLC,54
28.800086,-98.477794,EMIL UNIT,EOG RESOURCES INCORPORATED,70
28.800086,-98.477686,STOCKHORST UNIT,EOG RESOURCES INCORPORATED,48
28.896451,-98.513779,GRASS FARM UNIT,ABRAXAS PETROLEUM CORPORATION,41
28.851050,-98.182958,WHITETAIL UNIT,EOG RESOURCES INCORPORATED,85
28.876434,-98.425026,ELDS,EOG RESOURCES INCORPORATED,9
28.845767,-98.189595,FALLOW UNIT,EOG RESOURCES INCORPORATED,59
28.876433,-98.424917,KANSU RED,EOG RESOURCES INCORPORATED,4
28.886411,-98.369547,MERGANSER UNIT,EOG RESOURCES INCORPORATED,48
28.886336,-98.369481,SHOVELER UNIT,EOG RESOURCES INCORPORATED,57
28.787858,-98.310803,MCADA,MURPHY EXPLORATION & PRODUCTION CO-USA,1
28.898684,-98.524471,RIBEYE UNIT,ABRAXAS PETROLEUM CORPORATION,85
28.682899,-98.262212,GUAJILLO EAST,MARATHON OIL EF LLC,61
28.682772,-98.262331,GUAJILLO EAST,MARATHON OIL EF LLC,44
28.682708,-98.262391,GUAJILLO EAST,MARATHON OIL EF LLC,95
28.682835,-98.262271,GUAJILLO EAST,MARATHON OIL EF LLC,4
28.682644,-98.262450,GUAJILLO EAST,MARATHON OIL EF LLC,61
28.760634,-98.491402,PRASSEL UNIT,EOG RESOURCES INCORPORATED,40
28.760731,-98.491400,ROSEMARIE UNIT,EOG RESOURCES INCORPORATED,22
28.764297,-98.308100,DOYLE UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,7
28.677622,-98.268006,GUAJILLO EAST,MARATHON OIL EF LLC,50
28.677692,-98.268053,GUAJILLO EAST,MARATHON OIL EF LLC,7
28.677761,-98.268103,GUAJILLO EAST,MARATHON OIL EF LLC,98
28.677833,-98.268153,GUAJILLO EAST,MARATHON OIL EF LLC,42
28.721999,-98.225250,TOM-SMITH UNIT A,MARATHON OIL EF LLC,86
28.800086,-98.477575,MAILAHN UNIT,EOG RESOURCES INCORPORATED,76
28.800085,-98.477467,SEIFFERT UNIT,EOG RESOURCES INCORPORATED,54
28.878581,-98.403569,TULE,EOG RESOURCES INCORPORATED,29
28.843603,-98.408961,HYENA,EOG RESOURCES INCORPORATED,72
28.784444,-98.296106,DALL UNIT,EOG RESOURCES INCORPORATED,56
28.898643,-98.524545,RIBEYE UNIT,ABRAXAS PETROLEUM CORPORATION,65
28.796596,-98.535356,NINA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,79
28.796928,-98.535356,NINA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,62
28.720738,-98.237141,PAT UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,44
28.720781,-98.237080,PAT UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,23
28.760735,-98.499912,PUENTE UNIT,EOG RESOURCES INCORPORATED,45
28.760431,-98.471981,RAKOWITZ UNIT,EOG RESOURCES INCORPORATED,71
28.770192,-98.791650,PAISANO UNIT,CABOT OIL & GAS CORPORATION,77
28.770181,-98.791694,PAISANO UNIT,CABOT OIL & GAS CORPORATION,35
28.822589,-98.236436,TURNBOW WEST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,97
28.822633,-98.236375,TURNBOW EAST UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,93
28.786744,-98.284903,FANNIN UNIT,EOG RESOURCES INCORPORATED,49
28.770169,-98.791742,SABRE CLIP UNIT,CABOT OIL & GAS CORPORATION,1
28.770159,-98.791787,SABRE CLIP UNIT,CABOT OIL & GAS CORPORATION,70
28.775800,-98.313336,CLYBURN UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,89
28.775808,-98.313258,CLYBURN UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,96
28.682581,-98.262511,GUAJILLO EAST AC,MARATHON OIL EF LLC,53
28.671514,-98.782836,HINDES BILLY-NORTH UNIT,CABOT OIL & GAS CORPORATION,61
28.808814,-98.542728,MILDRED UNIT,ATLAS EAGLE FORD OPERATING CO LLC,24
28.808814,-98.542789,MILDRED UNIT,ATLAS EAGLE FORD OPERATING CO LLC,67
28.794067,-98.201647,OCONNELL A,PROTEGE ENERGY III LLC,100
28.678122,-98.645706,CUELLAR,EOG RESOURCES INCORPORATED,77
28.678200,-98.645639,CUELLAR,EOG RESOURCES INCORPORATED,52
28.802317,-98.229395,KYLIE UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,68
28.802361,-98.229336,KYLIE UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,89
28.799936,-98.233483,KELLNER L UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,15
28.799883,-98.233531,KELLNER L UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,69
28.794117,-98.201592,OCONNELL A,PROTEGE ENERGY III LLC,12
28.779226,-98.454442,SIBLEY UNIT,EOG RESOURCES INCORPORATED,99
28.779222,-98.454333,LOPEZ UNIT,EOG RESOURCES INCORPORATED,33
28.794167,-98.201539,OCONNELL A,PROTEGE ENERGY III LLC,23
28.794214,-98.201486,O`CONNELL A,PROTEGE ENERGY III LLC,44
28.670769,-98.747056,MOONLIGHT,EOG RESOURCES INCORPORATED,99
28.670747,-98.746953,MOONLIGHT,EOG RESOURCES INCORPORATED,4
28.809944,-98.554959,WHEELER UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,81
28.794472,-98.274981,CAB UNIT,MURPHY EXPLORATION & PRODUCTION CO-USA,87
28.834544,-98.501597,JANICE UNIT,EOG RESOURCES INCORPORATED,54
28.834639,-98.501622,DUREN UNIT,EOG RESOURCES INCORPORATED,44
28.941319,-98.309961,KODIAK UNIT,EOG RESOURCES INCORPORATED,83
28.670322,-98.796003,FOUR CORNERS RANCH-UNIT `A`,CABOT OIL & GAS CORPORATION,43
28.677089,-98.272956,GUAJILLO EAST,MARATHON OIL EF LLC,13
28.677034,-98.273026,GUAJILLO EAST,MARATHON OIL EF LLC,97
28.676979,-98.273096,GUAJILLO EAST,MARATHON OIL EF LLC,53
28.676925,-98.273166,GUAJILLO EAST,MARATHON OIL EF LLC,58
28.676869,-98.273236,GUAJILLO EAST,MARATHON OIL EF LLC,60
28.670839,-98.747378,SNOWFLAKE,EOG RESOURCES INCORPORATED,81
28.670814,-98.747269,SNOWFLAKE,EOG RESOURCES INCORPORATED,31
28.670791,-98.747162,SNOWFLAKE,EOG RESOURCES INCORPORATED,51
28.674243,-98.757261,SNOWFLAKE,EOG RESOURCES INCORPORATED,54
28.674244,-98.757150,SNOWFLAKE,EOG RESOURCES INCORPORATED,74
28.674247,-98.757042,SNOWFLAKE,EOG RESOURCES INCORPORATED,53
28.668644,-98.271975,GUAJILLO EAST,MARATHON OIL EF LLC,72
28.668586,-98.272042,GUAJILLO EAST,MARATHON OIL EF LLC,25
28.668528,-98.272108,GUAJILLO EAST,MARATHON OIL EF LLC,70
28.668470,-98.272174,GUAJILLO EAST,MARATHON OIL EF LLC,91
28.663254,-98.373701,MCCOWEN MIDDLE,MARATHON OIL EF LLC,5
28.758308,-98.770256,BOWMAN WEST,TEXAS AMERICAN RESOURCES COMPANY,84
28.663340,-98.373580,MCCOWEN MIDDLE,MARATHON OIL EF LLC,36
28.761161,-98.543279,PAPA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,61
28.761162,-98.543216,PAPA UNIT,ATLAS EAGLE FORD OPERATING CO LLC,14
28.677546,-98.779165,SNOWFLAKE,EOG RESOURCES INCORPORATED,68
28.677519,-98.779058,SNOWFLAKE,EOG RESOURCES INCORPORATED,59
28.677571,-98.779271,SNOWFLAKE,EOG RESOURCES INCORPORATED,88
28.759953,-98.422497,LEMON UNIT,EOG RESOURCES INCORPORATED,74
28.759961,-98.422389,LIME UNIT,EOG RESOURCES INCORPORATED,66
28.895492,-98.345817,OCELOT,EOG RESOURCES INCORPORATED,3
28.908753,-98.300914,GROUSE A,EOG RESOURCES INCORPORATED,78
28.907518,-98.254338,STONE UNIT,EOG RESOURCES INCORPORATED,19
28.739549,-98.591858,ORION,EOG RESOURCES INCORPORATED,20
28.739604,-98.548536,MOON UNIT,EOG RESOURCES INCORPORATED,34
28.739472,-98.591792,ORION,EOG RESOURCES INCORPORATED,33
